summary,topic,title,date,translated_text
With the power of a boxer: giant slalom Olympic champion Viktoria Rebensburg has her own head. This gives her confidence and makes her so strong at 20 years old.,Sport in the United Kingdom,"""Gold in giant slalom - """"Sleazy genius""""""",00/02/2010,"With the strength of a boxer: giant slalom Olympic champion Viktoria Rebensburg has her own head. This gives her confidence and makes her so strong at 20 years old. If Viktoria Rebensburg is happy, then she has something boxing-like about her. Not from the stature, she has grown rather small, and she has the stature that many 20-year-olds have, also the face, round and young. But she makes this boxing movement, she always makes this movement when she is happy: with the right fist a"
"Wolfsburg and Bremen shine with four goals each, Hamburger SV feels despite a defeat as a winner. Three Bundesliga players make the leap into the eighth final in the Europa League.",Sport in the United Kingdom,Europa League - Sterne des Nordens,00/02/2010,"Wolfsburg and Bremen shine with four goals each, Hamburger SV feels despite a defeat as a winner. Three Bundesliga players make the leap into the eighth final in the Europa League. HSV had to tremble until the last minute, Werder and VfL Wolfsburg made a short process: The German football trio moved into the eighth final of the Europa League on Thursday evening. Champion VfL Wolfsburg beat Villarreal FC 4:1 and celebrated with the continuation the greatest international success in the history of his club. DFB-Pokal"
"An Olympic champion who comes out of the fog: Viktoria Rebensburg, 20, goes from sixth place to gold after a night's break in the second giant slalom.",Sport in the United Kingdom,"Olympics: Gold in giant slalom - Vicky, the hunter",00/02/2010,"Shortly after she had made up her mind, after Viktoria Rebensburg had realised that she would be able to call herself an Olympic champion from now on and for a lifetime, she said a sentence that also characterized her a bit: ""I was the hunter. That's why I was in a good starting position."" For two days this giant slalom of the women had drawn, after the first run Rebensburg had taken sixth place, and already in the morning, when she woke up, she seemed to know that this was good: ""Comical"", she said later in the"
"German cross-country skiers still fetch silver, ""shame"" in the jumping of the combined skiers, Vancouver's mayor fears the schnapps. Olympia compact",Sport in the United Kingdom,Olympia compact (13) - Grand Final by Claudia Nystad,00/02/2010,"With an irresistible attack on the last climb Claudia Nystad has awarded the German cross-country skiers Olympic silver in the relay. Three days after her Olympic victory in the team sprint, the alpine skier again ran an outstanding race in Whistler on Thursday and was enthusiastically celebrated at the finish of the 4 x 5 kilometre race by her colleagues Katrin Zeller, Evi Sachenbacher-Stehle and Miriam Gössner."
"""This is absolute madness"": 20-year-old Viktoria Rebensburg races from sixth to first place in a magnificent second round.",Sport in the United Kingdom,Olympics: Alpine Skiing - Rebensburg wins gold in giant slalom,00/02/2010,"Next gold party for the German alpinists: One week after Maria Riesch's Olympic victory in the super-combination, secret favourite Viktoria Rebensburg took advantage of the hour and won the gold medal in the giant slalom. The 20-year-old from Kreuth drove at full risk from the sixth to the gold rank and became Olympic champion without ever winning a World Cup race. ""I believe that name does not belong to me, that is incredible, the absolute madness. Gold is a dream"
The fall in the two-man bobsleigh final on the track of Whistler has shown how rodlers and bobsledders get mixed up in contradictions. The project Tempo has gone wrong.,Sport in the United Kingdom,2010 Olympics - Hilflos in the Ice Channel,00/02/2010,"For two weeks now, the Olympic bobsleigh and toboggan run of Whistler has been the focus of public attention, spotlights illuminate the track, cameras follow the shots coming from above in each curve. And yet, one cannot get rid of the impression that bobsledders and bobsledders lived in an isolated world. After a death, several serious falls and the spectacular ""exit"" of the German shooter Romy Logsch, they still persistently claim that the track of Whistler is in the"
"100,000 condoms for the Olympics: At the Games there is an ""explosion of hedonism"". Again, all indications point to this - but German athletes disagree.",Sport in the United Kingdom,Vancouver - Olympic Delight,00/02/2010,"100,000 condoms for the Olympics: At the Games, there is an ""explosion of hedonism"". Again, all the evidence points to this - but German athletes disagree. 1992 is a long time ago. 18 years, to be precise. 18 years in which you can forget a lot: the weather on your birthday. The name of the attractive holiday flight on this relaxed evening on Placa del Rei. Perhaps even the feeling of entering the Olympic stadium of Barcelona. But one thing Matthew Syed will never forget: the ""sex festival"" of the"
"No hit, one goal, a car in the fire brigade driveway: Ailton's amusing record in his almost half-hour sixth-league debut for KFC Uerdingen.",Sport in the United Kingdom,Ailton: Premiere for Uerdingen - Just a little knob for the start,00/02/2010,"The best shot Ailton put next to the goal and his car he parked in the fire brigade driveway. But the football star did not want to let the mood spoil. ""The place was too deep, therefore I did not hit with my beautiful Schlenzer. But I make my goals in the next games"", said the former Bundesliga goalkeeper king after his debut in the 6th League for KFC Uerdingen. Without a goal of the Brazilian the Krefeld club did not come over a 1:1 (1:1) against Wuppertaler SV II - and"
Stephanie Beckert takes the second silver medal after a furious final sprint. The shy speed skater is the only one to be able to compete in the great legacy of the German long-distance runners.,Sport in the United Kingdom,Speed skating: Second silver for Beckert - At eleven o'clock in bed,00/02/2010,"Stephanie Beckert takes the second silver medal after a furious final sprint. The shy speed skater is the only one who can compete in the great legacy of the German long-distance runners. Her first touch after the second silver cup went to the mobile phone. Stephanie Beckert stood for minutes in the interior of the Richmond Oval and phoned ""Mother and Daddy"" in Erfurt, and again and again a bright smile appeared on her face. ""These are my first Olympic Games, and I'm just happy that"
"The so-called exotics always deliver colorful stories. But for various reasons the IOC should consider whether their performances really belong to the Olympics. Thoughts about ""being there is everything"".",Sport in the United Kingdom,Exotics at the Olympic Games - What's in it for you?,00/02/2010,"The so-called exotics always provide colorful stories. But for various reasons the IOC should consider whether their performances really belong to the Olympics. Thoughts about ""being there is everything"". Marjan Kalhor stands in the Mixed Zone of the alpine racetrack of Whistler Creekside, someone hands her an Iranian flag. Then she gives interviews, countless dictation devices are stretched out to her, the reporters cling to the fence, afterwards the television teams come, they film, ask, it is a bit"
"""I'll watch football again"": At the Olympic Games in Vancouver there is little patriotism in front of the television - but all the more compassion.",Sport in the United Kingdom,TV-Event Olympia (12) - Black-Red-Geil goes differently,00/02/2010,"""I watch football again"": At the Olympic Games in Vancouver there is little patriotism in front of the television - but all the more compassion. The ""snowflakes, as big as espresso cups, only softer"", as the commentator in the ZDF so beautifully says, are to blame. Because these snowflakes bring ""us"" for a medal. At the 4x10 kilometer relay in cross-country skiing, the German starters have put on the wrong skis, for the dense snowfall on this Wednesday evening, other nations are better equipped."
"Bad weather creates unrest and, in the worst case scenario, an Olympic premiere - a competition started without a winner. There is only one rescue: the weather window.",Sport in the United Kingdom,Giant Slalom: decision postponed - gold for - nobody,00/02/2010,"They had tried, waited, postponed, waited. At the top, on the mountain, the athletes stood and tried to stay reasonably warm, the American Julia Mancuso and the British Chemmy Alcott, for example, listened to music together and jumped to it, others sat in the restaurant; and below, in the finishing room, the spectators waited, in the press center a few journalists slept. But it simply did not work. At 3 pm local time, the athletes and coaches left the mountain, the jury"
"Speed skater Beckert finishes second in the 5000 metres, a German bobsledder falls as he lies on medal course, Canada's ice hockey player humiliates Russia, the giant slalom decision is postponed.",Sport in the United Kingdom,Olympia compact (12) - Second silver on ice,00/02/2010,Speed skater Stephanie Beckert has won her second medal at the Winter Olympics. The 21-year-old from Erfurt came in second place in the 5000 metres on Wednesday (local time) in the Richmond Olympic Oval in 6:51.39 minutes. Gold was won by the favourite Czech Martina Sablikova in 6:50.91. The bronze went to the 37-year-old Canadian Clara Hughes. Beckert’s club colleague Daniela Anschütz-Thoms again missed the Olympic gold medal in fourth place. Katrin Matt from Berlin
Federal coach Löw is not exactly enthusiastic about the World Cup quarter-finals of the DFB in South Africa. We can understand that. We were there. Visit to the Velmore Hotel near Pretoria.,Sport in the United Kingdom,South Africa: German World Cup Quarter - Dead frog in the pool,00/02/2010,"Federal coach Löw is not exactly enthusiastic about the World Cup quarter-finals of the DFB in South Africa. We can understand that. We were there. Visit to the Velmore Hotel near Pretoria. Heinz Mulder has hardly been interested in football so far. ""This is a sport for blacks,"" says the massive man. So Mulder grew up: football? That was played by the poor in the townships. Mulder, however, does it like many light-skinned and wealthy South Africans. He prefers to play rugby. And he loves cricket."
Dribbelkünstler Arjen Robben hid during his time at Real Madrid burglars from his house - Munich thieves should be warned.,Sport in the United Kingdom,Football: Arjen Robben - The avenger with the kitchen knife,00/02/2010,"Dribbelkünstler Arjen Robben drove burglars out of his house during his time at Real Madrid - Munich thieves should be warned. Swirl around Bayern star Arjen Robben: The Dutch national player of football record champion Bayern Munich drove three burglars out of his villa with a knife during his time at Real Madrid. ""That was last year. I followed the burglars through the house with the knife. They then fled,"" Robben explained on SID request."
The Danish anti-doping fighter Rasmus Damsgaard knows of doped runners at the Olympic Games in Vancouver. Nobody can concern them.,Sport in the United Kingdom,Olympics: Doping - Deceptive cleanliness,00/02/2010,"Rasmus Damsgaard sees something that others do not. He is responsible for the doping tests in cross-country skiing at the International Ski Federation Fis and has already experienced some athletes in competition, although according to his findings he was banned because of performance manipulation. Almost a year ago, Damsgaard made public that he could have retrospectively shown suspicious urine samples with improved tests as positive if the competent laboratory, accredited by the World Anti-Doping Agency Wada, had given him the B-Pro"
"Despite the death of her mother, the Canadian Joannie Rochette competes in figure skating. No spectator must therefore have a bad conscience.",Sport in the United Kingdom,Olympia: After the death of the mother - consolation in ritual,00/02/2010,"Despite the death of her mother, the Canadian Joannie Rochette competes in figure skating. No spectator must therefore have a bad conscience. Michael Schumacher had a helmet behind whose visor he could hide his face, back in April 2003, at the Grand Prix of San Marino in Imola, a race that he took up with mourning. The night before, Elisabeth Schumacher had died at the age of 55. Is that venerable, many asked at the time: Putting your own life at risk, only hours after the death of your mother?"
A new detection method can uncover doping with growth hormones for the first time. But high-performance sport has long had a new fraud remedy ready.,Sport in the United Kingdom,Olympics: Doping - An old hat,00/02/2010,"The sporting-political messages of jubilation of these days no longer tear off. Just recently, high IOC officials celebrated the fact that Vancouver has not yet had a doping case to complain about, as massive progress in the fight against fraud. This is nonsense, as any scene knowledge, the reality of the top sports industry and the facts available thanks to state investigations prove. Zero positive? The fact that nothing has happened so far only means that there are no doping findings, but not that there are no doping cases"
"The sport is young, it is cool and it can be marketed well: why both the athletes and the IOC can be satisfied with the Olympic premiere of the skicrosser.",Sport in the United Kingdom,"Olympia: Skicross - Fun, Show, Spectacle",00/02/2010,"The sport is young, it is cool and it can be marketed well: why both the athletes and the IOC can be satisfied with the Olympic premiere of the skicrossers. It snowed on Tuesday, above, on Cypress Mountain. That is quite amazing, it has not snowed on Cypress Mountain before the gates of Vancouver any longer. But the snow came at an unfavorable time, at least for skicross: the Olympic premiere of the women ran just as the snow came."
The TV commentators can be annoying - but are sometimes the pure wellness holiday. The real challenge of an Olympic evening lurks in your own living room.,Sport in the United Kingdom,TV event Olympia (11) - The voice of the sofa cushion,00/02/2010,"The TV commentators can be annoying - but sometimes they are pure wellness holidays. The real challenge of an Olympic evening lurks in your own living room. That with the comments at Olympic competitions is such a thing. There were already voices that all experts of the public-legal plead, but just to be silent. Well, that alone is not done - because if on my screen the Nordic combined skiers reject themselves in Whistler from the jumping table, Felix Neureuther in"
VfB Stuttgart is very enthusiastic about the 1:1 against Barcelona and the compliments of the opponent - and only misses spokespersons for coach Christian Gross.,Sport in the United Kingdom,Champions League: VfB Stuttgart - Smiling on Formula Search,00/02/2010,"The VfB Stuttgart is very enthusiastic about the 1:1 against Barcelona and the compliments of the opponent - and only misses speakers for coach Christian Gross. Alexander Hleb had given pictures in the past Bundesliga games, on which he shows a wrinkles already pronounced for his age. A face, torn by anger and displeasure, when the coach once again replaced him in the 65th minute. At the game against Barcelona Hleb looked from the middle of the half always hidden to the bench, if there is an alternate"
2:8 vs. Canada: Germany's ice hockey team goes home with the worst record in history.,Sport in the United Kingdom,"""Ice Hockey: Out for Germany - """"We knew they were sour""""""",00/02/2010,"It was clear that Team Canada would go enormously motivated in this hockey game against Germany, in which it was all about: the winner plays in the quarter-finals against Russia, the loser leaves the tournament. ""Do or die"", so says the Canadian to such a situation martialisch: Friss or die. The Canadians had a lot to do with their fans, a 3:5 against the USA, ""we knew that they are sour"", says federal coach Uwe Krupp, ""our goal was to make the first ten minutes"
The wind and a fall prevent a better result of the German combined skiers. Speed skater Patrick Beckert will probably never turn off his phone again.,Sport in the United Kingdom,Olympia compact (Tag 11) - combined skier fetch Bronze,00/02/2010,"Despite a fall by Tino Edelmann, Germany’s Nordic combined skiers have won bronze in the team competition. On Tuesday, the DSV quartet with Johannes Rydzek, Edelmann, Eric Frenzel and final runner Björn Kircheisen stormed up to third place after sixth place in jumping in the season, but clearly missed the secretly hoped-for first gold in 22 years. This was achieved after the race over 4 x 5 kilometers by the quartet from Austria, in which Felix Gottwald won his third Olympic victory."
Stuttgart has to settle for a 1–1 win against Barcelona after a strong start - and can thank the referee for keeping this result.,Sport in the United Kingdom,Champions League: VfB Stuttgart - Ibrahimovic appeases Hornissen swarm,00/02/2010,"Stuttgart has to settle for a 1–1 win against Barcelona after a strong start - and can thank the referee that it stays with this result. Aliaksandr Hleb had estimated the chances of a victory at ten to ninety. The VfB attacker, loaned from FC Barcelona, was wrong. Rarely was it so easy to beat FC Barcelona as on this Tuesday evening in the Champions League semi-final. After the lead goal of Cacau in the 24th minute, the VfB played the title"
Postponed change of generations: The German women's biathlon relay wins the bronze medal without Magdalena Neuner.,Sport in the United Kingdom,Olympia: Biathlon - Tiring Happy-End,00/02/2010,"Magdalena Neuner did run along. Certainly, she was not on the start list of the Olympic women’s biathlon relay, but Neuner was still there. In the hearts of the teammates, in the eyes of the cameras and in the conversation of the spectators around the race. Since the 23-year-old double Olympic champion announced her renunciation of the relay and even greater fame in favour of the others, there was first irritation, then praise from all sides, and one could say: There were nine everywhere."
"Despite the criticism from German coach Behle, the German cross-country skiers presented themselves strongly last time. The success offers the chance to shape the generation change positively.",Sport in the United Kingdom,Olympics: Cross-country skiing - The many question marks,00/02/2010,"Despite the criticism from German coach Behle, the German cross-country skiers presented themselves strongly last time. The success offers the chance to shape the generational change positively. The paths of the German cross-country ski team are unfathomable, their performances rise and fall like a hit propeller plane. For the second time, the former world champion Axel Teichmann finished his start at the climax in the deep midfield, for the second time he makes up for the Malheur shortly afterwards with a medal in the team. This time apparently even after a three-day"
Hertha BSC bids farewell to the European football scene with a 0:4 defeat at Benfica and can now concentrate with all its strength on keeping up the class in the league.,Sport in the United Kingdom,Football: Europa League - Lesson in Lisbon,00/02/2010,Hertha BSC bids farewell to the European football stage with a 0:4-loss at Benfica and can now concentrate with all his strength on the class preservation in the league. Hertha BSC Berlin has missed the eighth final of the Europa League and with a debacle probably for a longer time bids farewell from the European stage. The Bundesliga final light lost the replay of the interim round at Benfica Lisbon after a weak performance with 0:4 (0:1) and can now completely concentrate on the relegation struggle in the Bundesliga. For Hertha was
How will Stuttgart beat Barcelona? Who will prevail in the duel between Inter Milan and Chelsea? Questions of the week: 2 for 2 - Udo's heirs.,Sport in the United Kingdom,"""2 by 2 - Udo's heirs - """"Everyone knows that Stuttgart wins""""""",00/02/2010,"How does Stuttgart beat Barcelona? Who will prevail in the duel between Inter Milan and Chelsea FC? The questions of the week: 2 um 2 - Udos Erben. Further videos can be found here Once a week discuss in the video column ""2 um 2"" on sueddeutsche.de ""Udos Erben"". Three members of the sueddeutsche.de sports editors (Johannes Aumüller, Thomas Hummel and Jürgen Schmieder) discuss the two most important questions of the football week: without script, without agreements"
Intimate details in the DFB affair: Michael Kempter describes in an interview how the former referee Manfred Amerell is said to have harassed him.,Sport in the United Kingdom,"""DFB referee affair - """"May I call you 'My Treasure'?""""""",00/02/2010,"In the DFB referee affair, intimate details have been published for the first time about the relationship between the meanwhile resigned referee spokesman Manfred Amerell, 62, and Bundesliga referee Michael Kempter, 27. In an interview with the Bild-Zeitung, Kempter reported extensively on alleged sexual harassment by Amerell. ""Mr. Amerell also kissed me on the mouth,"" said Kempter. He turned away and clearly signalled that he did not want this: ""Man"
"TV evening of an Olympic layman: the ski jumpers don't make a good figure, the bobsledders already and the ZDF announces that the beaver's name is Vancy.",Sport in the United Kingdom,"""TV event Olympia (10) - """"Watch out for your bronzes, boy""""""",00/02/2010,"TV evening of an Olympia-Laien: The ski jumpers do not make a good figure, the bobsledders already and the ZDF announces that the beaver is called Vancy. First of all a great news: The ZDF mascot has a name! The nights of the rat have passed, Franck Bibéry, Mainzelfäller and the beaver Butzemann favored by ZDF sports frontwoman Katrin Müller-Hohenstein are out of the race. That, uh, coarse beaver man is called Vancy. But later more about"
"The Canadian athletes do not meet the expectations of their fans. Nevertheless, the Canadians are enthusiastic about the Olympics - but they do not need an anthem to do so.",Sport in the United Kingdom,Olympics in Vancouver - Canadian Winter Fairytale,00/02/2010,"Without wanting to get too close to the Canadians now, but it is to be assumed that the majority of the population thinks similarly about skeleton as most Germans: namely not at all. However, when Jon Montgomery was interviewed before the ice hockey game of the Canadians against the USA via video cube, the 19,000 spectators in Canada Hockey Place howled, as if there were Wayne Gretzky, whom they in Canada worship like a saint. Jon Montgomery looked into the huge stadium, he seemed seized, somehow also ."
"Late Roman decadence in the downward struggle, a Dutchman as Archimedes of the Bundesliga and a professor who can't let the calculation.",Sport in the United Kingdom,Bundesliga: Eleven of the game day - On behalf of Aristotle,00/02/2010,"Louis van Gaal (FC Bayern Munich) ""Louis van Gaal is not only the head coach, but also a philosopher. Sometimes he shares this with the public, and that is wonderful,"" says manager Christian Nerlinger about the football teacher of FC Bayern. Which football philosophy the Dutch pursue during the 90 minutes of the game is now sufficiently known in Germany. However, which philosophical school of thought van Gaal adheres to after the final whistle has not yet been definitively clarified. After all, since Saturday it can be definitively ruled out that he belongs to the ranks of Stoics."
"Of great mood, the propensity to fuck and a medal as blowjob. A half-time review",Sport in the United Kingdom,Halftime at the Olympics - Like a summer fairy tale - only better,00/02/2010,"From great mood, the tendency to sloppiness and a medal as a blow job. A half-time review from Warmcouver. The Shadow of the Games The 21st Winter Olympics had not even begun, since they already had their first main theme, unfortunately not a pleasant one. The Georgian rower Nodar Kumaritashvili died in training on the day of the opening ceremony after a fall in curve 16. The ceremony was accordingly under the impression of the tragic event, the Georgian team ran with Tra"
"Gold is not equal to money: In order for sporting success to be marketed, several factors have to come together - as in the case of the snowboarders from the USA.",Sport in the United Kingdom,"Olympic Games - Blonde, sweet, walnut ice cream",00/02/2010,"Winter athletes are usually not rich - at least in Europe. Unless they have rich parents, or they combine for the PR strategists of the companies all the ingredients for an advertising success: gold medal and good looks. Especially in the USA, winter athletes can earn a lot more. According to a list of the business magazine Forbes, the best-earning US winter athlete ranked first in the Olympic money list must share with an Asian. The money top ten of the games in Vancouver - where the ice hockey pros from the"
"Nuremberg paves Bavaria's way to the top, Leverkusen loses its most important man, in Freiburg air pressure is uneven.",Sport in the United Kingdom,Bundesliga preview: 23rd game day - Wordless steam rollers,00/02/2010,"1899 Hoffenheim - Borussia Mönchengladbach (Friday, 8.30 p.m.) It is getting close in Mönchengladbach, at least in the storm. The team, which often combined in the round of 16, but had no player to sink the ball, is now happy about a luxury problem in the storm: Raul Bobadilla (in the picture) and Robert Colautti last belonged to the trust of the coach Michael Fontzeck, but Karim Matmour and Rob Friend are pushing for it. The result of this offensive oversupply:"
"Magdalena Neuner, Evi Sachenbacher, Maria Riesch: The German sports fan gets numerous figures at these games where he can capture his emotions.",Sport in the United Kingdom,Olympics: German team - Faces of the Games,00/02/2010,"Magdalena Neuner, Evi Sachenbacher, Maria Riesch: The German sports fan gets numerous figures at these games, on which he can fix his emotions. Ludwig Ganghofer could not have designed a better dramaturgy for what is happening in the Canadian whistler. The author of the homeland novel would probably also have chosen this attractive, sympathetic and down-to-earth athlete to tell the story of these Olympic Winter Games. Magdalena Neuner, this is clear at the latest since her success in the pursuit race, is the German face of these games in Vancouver."
With the Champions League quarter-final against Florence FC Bayern starts its probationary weeks. Is the quality sufficient for Europe? The team parts in check.,Sport in the United Kingdom,Champions League: FC Bayern - Allowed euphoric,00/02/2010,"FCBayern last won twelve games in a row in the three competitions, the prospects of Munich will be described as grandiose, especially by themselves. ""I think we have a great time ahead of us,"" said goalkeeper Jörg Butt on carnival Sunday, before the Champions League semi-final game against AC Florence, the eleventh in the table from Italy. Do Bayern continue their success series, as each of them now expects? Do they already have the quality to make early disillusionments as in"
"Neuner, Neureuther and a dazzling pair of skaters: The DOSB wants to become the number one winter sports nation in Vancouver again. sueddeutsche.de presents the biggest hopes.",Sport in the United Kingdom,Olympic Games - German faces,00/02/2010,"Neuner, Neureuther, Rodler und Eislaufpaar: The DOSB wants to become the number one winter sports nation again in Vancouver. Here are some of the big hopes.i> Maria Riesch, 25, alpine skiing The Partenkirchner Maria Riesch is one of the best ski racers in the world, which is why she has a certain self-confidence. After her downhill victory in St. Moritz, the last race before the Olympics, she said: ""I can get a medal in every discipline"", but that was not even exaggerated"
"Louis van Gaal does not reveal what is bothering him at the moment, the opposing coach evokes unpleasant memories at Leverkusen and Frankfurt trains like Barcelona. Bundesliga preview.",Sport in the United Kingdom,"Bundesliga preview, 22nd match day - Viruses in the wardrobe",00/02/2010,"Borussia Mönchengladbach - 1. FC Nürnberg (Friday, 8.30 p.m.) Sometimes even an optimistic coach finds it difficult to always look forward positively. What should he also say if his team has only managed one victory in the last eight Bundesliga games, is last in the table and the head goalkeeper is injured? Probably that: ""We go there not only to make a good game, but to take points with us."" Nuremberg coach Dieter Hecking said this sentence - and with ""there"" my"
"Prostitutes fear to have ""a thousand times more to do"", condoms for athletes, skiing exotics from Africa, umbrellas are allowed - ""but only small"".",Sport in the United Kingdom,Olympia skurril - Burn-out in Vancouver,00/02/2010,"Vancouver’s “light girls” fear that they will not be able to satisfy the demand of Olympic tourists. “We were told that we will have a thousand times more to do than we can imagine. I’m a little scared that my people will get a burn-out,” Brandy Sarionder, who runs a strip club and massage salon in the city of the Winter Games, told the Canadian daily Vancouer Sun. The crowd at the Olympics will surpass the crowd at the World’s Fair by many times, she speculated."
"The position of the federal coach was mostly contested: Nerz loses under Hitler, Beckenbauer pushes - now Joachim Löw is to finally win a title again by 2014.",Sport in the United Kingdom,DFB: From mink to lion - power games and shadow coach,00/02/2010,"The position of the German national football team manager was mostly contested: Nerz loses under Hitler, Beckenbauer pushes over the picture and Löw argues with the DFB. A stroll through German football history: from Otto Nerz to Joachim Löw. It is a joyous time for the incumbent Bundesliga coach Joachim Löw. In German football, there is again a lot of young, talented footballers - and the national team has been acting on an appealing level for years. This is also a merit of Löw. Actually, he had his contract"
"Why the real ""Robbery"" is currently playing in Stuttgart, Adidas employees scouting the warehouse and whether Ruud van Nistelroy is allowed to play.",Sport in the United Kingdom,Bundesliga preview - Dream duo and colored underpants,00/02/2010,"Werder Bremen - Hertha BSC Berlin (Friday, 8.30 p.m.) At the weekend in Bremen the so-called Green-White Night is on, the ""baller event of the year"". So euphoric the club can rightly at the moment only announce the rushing dance ball within the framework of the 111-year anniversary of the club. On green alleys there was of the Hanseatic last rather little to marvel at, which even remotely reminds of a ""baller event""."
"With German help, the US corporation Microsoft has shut down a criminal computer network. However, experts doubt the effectiveness of the measure.",digital,Fight against malware - Microsoft cripples zombie network,00/02/2010,"With German help, the US corporation Microsoft has shut down a criminal computer network. Experts, however, doubt the effectiveness of the measure. Is it a breakthrough in the fight against malicious programs or just a futile and PR-intensive attempt to stem the flood of spam messages? With an unusual strategy, Microsoft has shut down a botnet, which is estimated to send about 1.5 billion unwanted spam mails per day. Hundreds of thousands of computers were mostly"
Ebay forces many sellers to use the payment service Paypal - now the Federal Cartel Office examines this practice.,digital,Online auction house - Antitrust Office checks Ebay's Paypal compulsion,00/02/2010,"Ebay forces many sellers to use the payment service Paypal - now the Federal Cartel Office examines this practice. The Federal Cartel Office has initiated an investigation against the Internet retailer Ebay. Ebay obliges more and more sellers to offer the group's payment service Paypal. The Cartel Office is examining whether the Internet company encounters a competition violation, said the Federal Cartel Office of the Economic Week. Since Thursday, Ebay obliges all sellers with less than 50 rating points to offer Paypal"
New Google services such as Street View and Buzz send an alarming signal: the search group does not take users and their desire for privacy seriously.,digital,Privacy - ruthless Google,00/02/2010,"New Google services such as Street View and Buzz send an alarming signal: the search company does not take users and their desire for privacy seriously. ""Don't be evil"" - do not be angry. The motto of the Internet search engine Google sounds so harmless. And yet the US company's action to put all the information of this world on the net alarms increasingly politicians and consumer advocates, especially in Europe. Whether Google Streetview, where everyone can take a look at neighbor's garden, Google's book search or the increasing"
"Everyday technology with pitfalls: Hackers could falsify the signals of GPS satellites - and thus not only mislead car drivers, but also open the door to criminals.",digital,Fake GPS signals - you have missed your destination,00/02/2010,"Everyday technology with pitfalls: Hackers could falsify the signals of GPS satellites - and thus not only mislead car drivers, but also open the door to criminals. A diabolical plan: To get to an exclusive story of a fight between American and Chinese troops, an unscrupulous media mogul lets manipulate the signals of navigation satellites via his own satellites and other conniving equipment. Of course, superagent James Bond crosses in ""Morning dies"
Is Google manipulating its search results to harm competitors? The EU Commission is examining the allegations raised by the three companies.,digital,Microsoft complaint - EU investigates Google,00/02/2010,"Does Google manipulate its search results to harm competitors? The European Commission is examining the allegations raised by three companies. The European Commission is examining the complaints of three companies against the operator of the world’s largest Internet search engine Google for breaches of competition law. The Internet companies from France and the United Kingdom accuse Google of disadvantaging them in the rankings because they represent a competition to the market leader. The complainants are a French legal aid search engine, a British"
Hasn’t Google deleted a YouTube abuse video quickly enough? An Italian court has now convicted three senior employees of the company.,digital,Italy - Google employees sentenced for violent video,00/02/2010,"Did Google not delete a YouTube abuse video quickly enough? An Italian court has now sentenced three senior employees of the company. Because they did not prevent the publication of a video of a thug on YouTube, a court in Italy has sentenced three Google employees to six months in prison on probation. Prosecutors argued that the footage had been on a list of the most watched movies and therefore had to be noticed. Judge Oscar Magi blamed the three for violating the privacy of the autistic victim"
"Saloppe Proverbs instead of serious discussion: In the Committee on Petitions, it turns out that MPs do not take the largest petition in the history of the Bundestag seriously.",digital,"Petition against blackouts - 134,000 Germans ignored",00/02/2010,"Saloppe Proverbs instead of serious discussion: In the Committee on Petitions, it turns out that deputies do not take the largest petition in the history of the Bundestag seriously. It was the largest petition in the history of the Bundestag, but somehow one could not get rid of the feeling that deputy Thomas Feist (CDU) did not take the concern of 134.015 Germans quite seriously. ""Maybe we should chat"", suggested the Leipzig deputy to the main petitioner Franziska Heine on Monday in the Committee on Petitions of the Bundestag, when she answered a question"
"This year, Google will launch its 360-degree Street View in Germany. Acknowledgements and an expert opinion are intended to appease critics, but questions remain.",digital,Only Germany grumbles,00/02/2010,"This year, Google will launch its 360-degree street view Street View in Germany. Acknowledgements and an expert opinion should appease critics, but questions remain. On this side of the Atlantic, everything is different. While Google can usually count on benevolent anticipation before product presentations in the USA, the Internet group in Europe is met with plenty of scepticism about new services. Even before Google launches its service Street View for Germany during this year, the company is heavily criticized. Street View already shows 360-degree"
"U.S. investigators are revealing more and more details about the hacker attack on Google to the media. Accordingly, there are first suspects. Meanwhile, the company is again negotiating with Beijing.",digital,Google and China - Tracking the hackers,00/02/2010,"US investigators are revealing more and more details to the media about the hacker attack on Google: There are therefore first suspects. Meanwhile, the company is again negotiating with Beijing. The search for the author of the hacker attacks on Google and other US companies in January is becoming more and more public. After various media reported that the Jiaotong University in Shanghai and a school in Lanxiang are the origin of the attacks, the US authorities are now on the heels of the programmer of the malicious software, according to the Financial Times"
"Passed around in Indian villages, liked to be spyed on in France: billions of people use mobile phones, but each culture uses them differently.",digital,Mobile phone culture worldwide - mini bank and divorce ground,00/02/2010,"Can we imagine our lives without a mobile phone? If you believe the figures, this is likely to be difficult for many people: As early as 2008, there were 4.1 billion registered mobile phones in the world. If these were evenly distributed, 60 percent of the world’s population would be mobilely accessible. However, there are differences: While in some parts of the world families share a single mobile phone and use it like a landline connection, elsewhere it is considered a sign of prosperity to carry as many phones as possible around with you."
Hessen extends the joint school period until the seventh grade. Primary school pupils are to benefit - the difference is made by the teachers.,Career,School reform in Hesse - vocational advantage for Hessen's pupils,00/02/2010,"In Hessen there will be a new form of school from the 2011/12 school year: the middle school. Like other federal states, Hessen is looking for an answer to the crisis of the primary school. So far, the potential of some young people has ""not been sufficiently raised"", said Prime Minister Roland Koch (CDU). The reform is ""a decisive change of direction, which is not only politically easy"". More practical orientation In the new school, classes five to seven can be taught together. Only in the seventh grade there is a """
